GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1246478313.566,39.789,4873.526,4.47e-20,3980.241,7.25,7940.48291,0.0,0.0,1.0,gJLHsPlchI,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zQsq6Ns6tH/gJLHsPlchI.png,5.657
1252851202.113,32.173,4778.5340000000015,6.46e-20,3980.241,9.5,7940.48291,0.0,0.0,1.0,5GtUpmyKQT,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lW3WzJ5vCh/5GtUpmyKQT.png,11.314
1248196173.396,112.781,4389.254,1.58e-20,3980.241,7.07,7940.48291,0.0,0.0,1.0,B14IDasVWX,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tsccuf9UJP/B14IDasVWX.png,11.314
1243887180.541,49.208,4170.452,2.67e-20,3980.241,7.0,7940.48291,0.0,0.0,1.0,OWNycRFcCV,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/kpPVcTvH7y/OWNycRFcCV.png,5.657
1250318546.91,32.173,3873.097,4.12e-20,3980.241,7.75,7940.48291,0.0,0.0,1.0,fytu2pj5MD,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/dCXIRtBoWt/fytu2pj5MD.png,11.314
1245898717.52,39.789,3637.75,2.84e-20,3700.979,7.0,7381.958495999998,0.0,0.0,1.0,jNHcDq4z6f,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9Mtm206ci0/jNHcDq4z6f.png,5.657
1248240776.033,75.263,3491.283,1.55e-20,3980.241,6.582000000000002,7940.48291,0.0,0.0,1.0,wPZ592yzZd,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/4kXY8ucOTz/wPZ592yzZd.png,5.657
1249493685.622,269.285,3354.6740000000004,1.14e-20,3980.241,5.75,7940.48291,0.0,0.0,1.0,8Y6X6gtyl6,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/C5YK1HpCCP/8Y6X6gtyl6.png,5.657
1246669946.149,269.285,3308.577,1.1299999999999999e-20,3980.241,5.9060000000000015,7940.48291,0.0,0.0,1.0,ro8ciMz5tr,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/t22utoKrtN/ro8ciMz5tr.png,22.627
1249091357.546,269.285,3234.762,1.1200000000000002e-20,3980.241,5.375,7940.48291,0.0,0.0,1.0,e4aeMzUSVj,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/fCrgraHYIt/e4aeMzUSVj.png,5.657
1248310243.4,269.285,3164.4709999999995,1.04e-20,3980.241,3.25,7940.48291,0.0,0.0,1.0,6fXxHkXLFJ,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8oKSel4Xm4/6fXxHkXLFJ.png,5.657
1246929475.467,269.285,3163.878,1.09e-20,3980.241,4.75,7940.48291,0.0,0.0,1.0,GLCTdm4LgE,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wcpTAXrEa7/GLCTdm4LgE.png,5.657
1252834312.464,269.285,3146.13,1.09e-20,3980.241,5.3279999999999985,7940.48291,0.0,0.0,1.0,gMJd9rxG8c,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lW3WzJ5vCh/gMJd9rxG8c.png,5.657
1241572419.629,32.173,2992.418,3.2499999999999996e-20,3980.241,8.25,7940.48291,0.0,0.0,1.0,80DuDAJGzu,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/xybDPaIrMD/80DuDAJGzu.png,11.314
1244563552.483,269.285,2966.757,9.84e-21,3878.874,3.5,7737.748047,0.0,0.0,1.0,KdbGJdVff5,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TTPzy1bbbg/KdbGJdVff5.png,5.657
1252636533.418,39.789,2817.425,2.25e-20,3980.241,6.5,7940.48291,0.0,0.0,1.0,EJ9qjhNagg,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gRXJ5cAVWE/EJ9qjhNagg.png,5.657
1250777837.638,217.741,2693.02,9.000000000000001e-21,3980.241,4.784,7940.48291,0.0,0.0,1.0,cSgYCGyX11,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TsptQejq1m/cSgYCGyX11.png,5.657
1244327472.594,333.03,2678.188,9.12e-21,3980.241,5.149,7940.48291,0.0,0.0,1.0,F5CmpU6RBW,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wPSGrxDjZN/F5CmpU6RBW.png,11.314
1249664965.352,411.865,2504.828,9.229999999999999e-21,3944.051,3.375,7863.368164,0.0,0.0,1.0,lPGTfCfp0t,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/px7IovIYhP/lPGTfCfp0t.png,5.657
1248662146.184,39.789,2434.781,1.9799999999999998e-20,3942.868,7.024,7865.735352,0.0,0.0,1.0,nFc7KBTgU3,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0xKpjBCaKa/nFc7KBTgU3.png,5.657
1252194678.188,142.363,2408.375,8.3e-21,3347.28,5.25,6674.560059,0.0,0.0,1.0,lFY7yGK41u,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/nwpT2E3fE7/lFY7yGK41u.png,5.657
1249794840.25,269.285,2368.218,7.859999999999996e-21,3197.468,3.984,6374.935059,0.0,0.0,1.0,mck4xL7GKW,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qqV0uR8dzm/mck4xL7GKW.png,5.657
1251151563.508,269.285,2256.137,7.7e-21,3980.241,3.625,7940.48291,0.0,0.0,1.0,Pw4tkLTNHS,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YYyy6Etz9v/Pw4tkLTNHS.png,5.657
1248181948.545,269.285,2215.214,7.27e-21,3980.241,3.849,7940.48291,0.0,0.0,1.0,nwHuVedywG,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/XQ0BagRVan/nwHuVedywG.png,5.657
1247784304.051,32.173,2191.103,2.5299999999999997e-20,3980.241,6.25,7940.48291,0.0,0.0,1.0,X7Fj6YCN3H,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/VcAXoW6fQm/X7Fj6YCN3H.png,5.657
1248943171.44,411.865,2158.0460000000007,7.9e-21,3944.051,3.25,7863.368164,0.0,0.0,1.0,zvcaNKZ4Al,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/nnrK0DMMUL/zvcaNKZ4Al.png,5.657
1248249724.623,269.285,2111.34,7.07e-21,3980.241,4.25,7940.48291,0.0,0.0,1.0,Zmv6emtovJ,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/4qaLUmEuCa/Zmv6emtovJ.png,5.657
1243237468.518,269.285,2090.96,7.13e-21,3980.241,3.513,7940.48291,0.0,0.0,1.0,GyEekOu7dx,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7LBjgizGR9/GyEekOu7dx.png,5.657
1249544985.348,333.03,2063.679,7.209999999999999e-21,3870.354,3.25,7715.974609000001,0.0,0.0,1.0,ul151d9ANJ,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/VlyQexMzfj/ul151d9ANJ.png,5.657
1252311688.388,269.285,1973.212,6.74e-21,3407.351,3.25,6789.967773,0.0,0.0,1.0,xaWVCRS0d6,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tv91yvjLfU/xaWVCRS0d6.png,5.657
1250158584.569,269.285,1969.802,6.63e-21,3198.651,3.375,6372.567871,0.0,0.0,1.0,H9KG4qbG6j,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gHvFoe2GOA/H9KG4qbG6j.png,5.657
1250223362.654,269.285,1964.031,6.6099999999999986e-21,3981.425,4.125,7938.115723000001,0.0,0.0,1.0,uMPsbBrbOC,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LF1iTnZkmp/uMPsbBrbOC.png,5.657
